iter	Logloss
250	0.5897200362
251	0.5896533239
252	0.5896346046
253	0.5896177407
254	0.5896056326
255	0.5895326405
256	0.5895169572
257	0.5894762625
258	0.58941329
259	0.5893427928
260	0.5893133301
261	0.5892989073
262	0.589270692
263	0.5892525971
264	0.5892427998
265	0.5892095458
266	0.5891997285
267	0.58915078
268	0.5891338032
269	0.5891038495
270	0.5890857524
271	0.5890443832
272	0.5890117346
273	0.5889927278
274	0.5889501352
275	0.588921742
276	0.5887839761
277	0.5887240104
278	0.5887105114
279	0.5886887514
280	0.5886726427
281	0.5886607032
282	0.5886491651
283	0.5886364944
284	0.5886232025
285	0.5886084299
286	0.5885963241
287	0.5885859822
288	0.588559125
289	0.5885389422
290	0.5885303617
291	0.5885154174
292	0.5884958948
293	0.5884838481
294	0.5884700369
295	0.588425127
296	0.5884079597
297	0.5883729759
298	0.5883507963
299	0.5883159896
300	0.5882795667
301	0.588254202
302	0.5882340516
303	0.5881981461
304	0.58817371
305	0.5881184065
306	0.5880975661
307	0.588083373
308	0.5880662014
309	0.5880536968
310	0.5880377624
311	0.5879413476
312	0.5879279403
313	0.5878862708
314	0.5878597095
315	0.5878311409
316	0.5877794472
317	0.5877431104
318	0.5877159793
319	0.5877010033
320	0.5876887058
321	0.5876132306
322	0.5875845026
323	0.5875663919
324	0.587549645
325	0.5874991269
326	0.5874792701
327	0.5874598229
328	0.5873850424
329	0.5873577495
330	0.5873276401
331	0.5872473123
332	0.587201511
333	0.5871905615
334	0.5871799562
335	0.5871673244
336	0.5871250056
337	0.5871144188
338	0.5870931868
339	0.5870284936
340	0.5870237171
341	0.5869969114
342	0.5869582215
343	0.5869470943
344	0.5869281272
345	0.5869034616
346	0.5868981865
347	0.5868809325
348	0.5868661417
349	0.5868022477
350	0.5867980906
351	0.5867857563
352	0.5867768654
353	0.586769045
354	0.5867171689
355	0.5867033067
356	0.5866896352
357	0.586676862
358	0.5866681094
359	0.5866554171
360	0.5866488091
361	0.5866391786
362	0.586620001
363	0.5866074685
364	0.5865932836
365	0.5865853634
366	0.5865651337
367	0.5865568188
368	0.5865484427
369	0.5865379638
370	0.58652328
371	0.5864972463
372	0.5864698535
373	0.5864588924
374	0.5864512893
375	0.5864384768
376	0.5864314595
377	0.5863768535
378	0.5863628633
379	0.5863479805
380	0.5862542771
381	0.5862417123
382	0.5861853458
383	0.5861524443
384	0.5861415336
385	0.5861289646
386	0.5860871616
387	0.5860779408
388	0.5860548629
389	0.5860454519
390	0.5860304152
391	0.5860178157
392	0.5860116096
393	0.5859880455
394	0.5859542722
395	0.5859318072
396	0.5859191813
397	0.5858695318
398	0.5858558593
399	0.5858455946
400	0.5858372859
401	0.5858213033
402	0.5858046807
403	0.5857735215
404	0.5857665642
405	0.5857549276
406	0.5857411656
407	0.5857228562
408	0.5857158101
409	0.5857096003
410	0.5856776547
411	0.5855901492
412	0.5855625673
413	0.5855544192
414	0.5855434196
415	0.5855269122
416	0.5855174046
417	0.5854950324
418	0.5854885502
419	0.5854818559
420	0.5854715457
421	0.5854613388
422	0.5854478262
423	0.5853346402
424	0.5853301808
425	0.5853167368
426	0.5853081283
427	0.585288101
428	0.5852793626
429	0.5852637935
430	0.5852555797
431	0.5852513822
432	0.5852411289
433	0.5851977232
434	0.5851876822
435	0.5851762138
436	0.5850734659
437	0.5850573065
438	0.5850465575
439	0.5850367856
440	0.5850199089
441	0.5850141926
442	0.5850042736
443	0.5849901167
444	0.5849789792
445	0.5849664207
446	0.5849607817
447	0.5849545496
448	0.584945714
449	0.5849423423
450	0.5849342575
451	0.5848823465
452	0.5848588779
453	0.5848223849
454	0.5847934852
455	0.5847871479
456	0.5847832508
457	0.5847734057
458	0.5847631639
459	0.584751918
460	0.5847412599
461	0.5847252399
462	0.5847095481
463	0.5847023761
464	0.5846737338
465	0.5846675111
466	0.5846494751
467	0.5846433562
468	0.5845849203
469	0.5845700332
470	0.5845644175
471	0.5845561244
472	0.5845504175
473	0.5845434175
474	0.5844999702
475	0.5844810973
476	0.5844731661
477	0.5844502161
478	0.5844385908
479	0.5844303448
480	0.5844218377
481	0.5844123403
482	0.584403537
483	0.5843973739
484	0.5843853922
485	0.5843648382
486	0.5843430468
487	0.5843340647
488	0.5843195811
489	0.5843104413
490	0.5842730863
491	0.5842431956
492	0.5842273012
493	0.584219794
494	0.5841974919
495	0.5841872718
496	0.584174758
497	0.5841678137
498	0.5841574291
499	0.5841472252
